id,question_id,job_band_id,training_name,training_link
Training66,Question15,2,Communicating with Confidence,
Training67,Question16,2,Developing Business Acumen,
Training68,Question16,2,Communicating with Confidence,
Training69,Question17,2,,
Training70,Question18,2,,
Training71,Question19,2,Acting Decisively,
Training72,Question20,2,Customer Service Mastery: Delight Every Customer,
Training73,Question20,2,Delivering Bad News to a Customer,
Training74,Question20,2,Customer Service: Problem Solving and Troubleshooting,
Training75,Question20,2,Developing a Service Mindset,
Training76,Question20,2,Communicating with Confidence,
Training77,Question20,2,Working with Difficult People,
Training78,Question20,2,Effective Listening,
Training79,Question20,2,Interpersonal Communication,
Training80,Question21,2,Project ManagementFoundations: Requirements ,
Training81,Question21,2,Project Management Foundations: Schedules,
Training82,Question21,2,Project Management Foundations: Budgets,
Training83,Question21,2,Microsoft Project Quick Tips,
Training84,Question21,2,Project Management Foundations: Teams,
Training85,Question21,2,Project Management Foundations: Communications,
Training86,Question21,2,Project Management Foundations: Risk,
Training87,Question21,2,Managing Project Stakeholders,
Training88,Question21,2,Microsoft Project Quick Tips,
Training89,Question21,2,Agile Foundations,
Training90,Question21,2,Agile at Work: Driving Productive Agile Meetings,
Training91,Question21,2,Agile at Work: Getting Better with Agile Retrospectives,
Training92,Question21,2,Agile at Work: Reporting with Agile Charts and Boards,
Training93,Question21,2,Agile Project Management: Comparing Agile Tools,
Training94,Question21,2,Transitioning from Waterfall to Agile Project Management,
Training95,Question21,2,Agile at Work: Building YourAgile Team,
Training96,Question21,2,Agile at Work: Planning with Agile User Stories,
Training97,Question22,2,Critical Thinking,
Training98,Question22,2,Improving Your Judgement for Better Decision-Making,
Training99,Question22,2,Making Quick Decisions,
Training100,Question22,2,Problem Solving Techniques,
Training101,Question22,2,Decision-Making Strategies,
Training102,Question23,2,Change Management Foundations,
Training103,Question23,2,Change Navigator,
Training104,Question24,2,,
Training105,Question1,3,,
Training106,Question2,3,Financial Accounting Part 2,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/finance-foundations-business-valuation?trk=share_ent_url&shareId=4GvMKybsRJ614Cu46kEelg==
Training107,Question3,3,Financial Accounting Part 2,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/finance-foundations-business-valuation?trk=share_ent_url&shareId=4GvMKybsRJ614Cu46kEelg==
Training108,Question4,3,,
Training109,Question5,3,Forecasting Using Financial Statements,https://brambles.myabsorb.com/#/online-courses/26c9510d-13c9-4f8e-9c00-21a7b50915c5
Training110,Question6,3,Corporate Finance: Robust Financial Modelling ,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/corporate-finance-robust-financial-modeling?trk=share_ent_url&shareId=S%2BbJXOHuSaikc%2FZb6yxahw==
Training111,Question9,3,,
Training112,Question7,3,,
Training113,Question8,3,,
Training114,Question10,3,,
Training115,Question11,3,,
Training116,Question12,3,,
Training117,Question13,3,,
Training118,Question14,3,,
Training119,Question15,3,Advanced Business Development: Communication and Negotiation,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/advanced-business-development-communication-and-negotiation?trk=share_ent_url&shareId=MuUzx%2BsjQ36I5RzhRrw2Fg==
Training120,Question16,3,Business Acumen for Project Managers,
Training121,Question17,3,Strategic Agility,
Training122,Question18,3,,
Training123,Question19,3,How to Resolve Conflict and Boost Productivity through Deep Listening,
Training124,Question19,3,Acting Decisively,
Training125,Question20,3,Customer Service Mastery: Delight Every Customer,
Training126,Question20,3,Delivering Bad News to a Customer,
Training127,Question20,3,Leading a Customer-Centric Culture,
Training128,Question20,3,Communicating with Confidence,
