id,level,job_band_id,job_family_id,question_id
competency154,F,3,insurance,Question10
competency155,A,3,insurance,Question11
competency156,A,3,insurance,Question12
competency157,F,3,insurance,Question13
competency158,F,3,insurance,Question14
competency159,A,3,insurance,Question15
competency160,A,3,insurance,Question16
competency161,A,3,insurance,Question17
competency162,A,3,insurance,Question18
competency163,A,3,insurance,Question19
competency164,A,3,insurance,Question20
competency165,I,3,insurance,Question21
competency166,A,3,insurance,Question22
competency167,I,3,insurance,Question23
competency168,F,3,insurance,Question24
competency169,I,4,insurance,Question1
competency170,F,4,insurance,Question2
competency171,F,4,insurance,Question3
competency172,I,4,insurance,Question4
competency173,F,4,insurance,Question5
competency176,A,4,insurance,Question8
competency177,F,4,insurance,Question9
competency178,F,4,insurance,Question10
competency179,E,4,insurance,Question11
competency180,A,4,insurance,Question12
competency181,F,4,insurance,Question13
competency182,F,4,insurance,Question14
competency183,E,4,insurance,Question15
competency184,E,4,insurance,Question16
competency185,E,4,insurance,Question17
competency186,E,4,insurance,Question18
competency187,E,4,insurance,Question19
competency188,E,4,insurance,Question20
competency189,I,4,insurance,Question21
competency190,E,4,insurance,Question22
competency191,I,4,insurance,Question23
competency192,F,4,insurance,Question24
competency193,F,1,investorrelations,Question1
competency194,F,1,investorrelations,Question2
competency195,F,1,investorrelations,Question3
competency196,F,1,investorrelations,Question4
competency197,F,1,investorrelations,Question5
competency198,x,1,investorrelations,Question6
competency199,F,1,investorrelations,Question7
competency200,F,1,investorrelations,Question8
competency201,x,1,investorrelations,Question9
competency202,F,1,investorrelations,Question10
competency203,F,1,investorrelations,Question11
competency204,F,1,investorrelations,Question12
competency205,F,1,investorrelations,Question13
competency206,F,1,investorrelations,Question14
competency207,x,1,investorrelations,Question15
competency208,F,1,investorrelations,Question16
competency209,F,1,investorrelations,Question17
competency210,F,1,investorrelations,Question18
competency211,F,1,investorrelations,Question19
competency212,F,1,investorrelations,Question20
competency213,F,1,investorrelations,Question21
competency214,F,1,investorrelations,Question22
competency215,F,1,investorrelations,Question23
competency216,F,1,investorrelations,Question24
competency217,I,2,investorrelations,Question1
competency218,F,2,investorrelations,Question2
competency219,F,2,investorrelations,Question3
competency220,F,2,investorrelations,Question4
competency221,F,2,investorrelations,Question5
competency222,x,2,investorrelations,Question6
competency223,I,2,investorrelations,Question7
competency224,F,2,investorrelations,Question8
competency225,x,2,investorrelations,Question9
competency226,F,2,investorrelations,Question10
competency227,F,2,investorrelations,Question11
competency228,F,2,investorrelations,Question12
competency229,F,2,investorrelations,Question13
competency230,F,2,investorrelations,Question14
competency231,x,2,investorrelations,Question15
competency232,I,2,investorrelations,Question16
competency233,I,2,investorrelations,Question17
competency234,I,2,investorrelations,Question18
competency235,I,2,investorrelations,Question19
competency236,I,2,investorrelations,Question20
competency237,I,2,investorrelations,Question21
competency238,I,2,investorrelations,Question22
competency239,F,2,investorrelations,Question23
competency240,F,2,investorrelations,Question24
competency241,I,3,investorrelations,Question1
competency242,F,3,investorrelations,Question2
competency243,F,3,investorrelations,Question3
competency244,F,3,investorrelations,Question4
competency245,F,3,investorrelations,Question5
competency246,x,3,investorrelations,Question6
competency247,A,3,investorrelations,Question7
competency248,F,3,investorrelations,Question8
competency249,x,3,investorrelations,Question9
competency250,F,3,investorrelations,Question10
competency251,F,3,investorrelations,Question11
competency252,F,3,investorrelations,Question12
competency253,F,3,investorrelations,Question13
competency254,F,3,investorrelations,Question14
competency255,x,3,investorrelations,Question15
competency256,A,3,investorrelations,Question16
competency257,A,3,investorrelations,Question17
competency258,A,3,investorrelations,Question18
competency259,A,3,investorrelations,Question19
competency260,A,3,investorrelations,Question20
competency261,I,3,investorrelations,Question21
competency262,A,3,investorrelations,Question22
competency263,F,3,investorrelations,Question23
competency264,F,3,investorrelations,Question24
competency265,I,4,investorrelations,Question1
competency266,F,4,investorrelations,Question2
competency267,F,4,investorrelations,Question3
competency268,F,4,investorrelations,Question4
competency269,F,4,investorrelations,Question5
competency270,x,4,investorrelations,Question6
competency271,E,4,investorrelations,Question7
competency272,F,4,investorrelations,Question8
